品牌,型号,部门名称,办公室,ip地址,win驱动名
惠普,M712dn,财务管理部,2111,10.3.120.23,HP LaserJet 700 M712 PCL 6
惠普,M712dn,财务管理部,2111,10.2.11.47,HP LaserJet 700 M712 PCL 6
惠普,M712dn,法律合规部,1911,10.2.26.170,HP LaserJet 700 M712 PCL 6
惠普,M712dn,法律合规部,1911,10.3.160.109,HP LaserJet 700 M712 PCL 6
惠普,M712dn,国际部,2011,10.2.25.22,HP LaserJet 700 M712 PCL 6
惠普,M712dn,国际部,2011,10.3.110.23,HP LaserJet 700 M712 PCL 6
惠普,M401dn,后督中心,1912,10.3.180.151,HP LaserJet 400 M401 PCL 6
惠普,M403DW,后督中心,1910,10.3.180.106,HP LaserJet Pro M402-M403 n-dne PCL 6
惠普,M712dn,后督中心,1912,10.2.19.72,HP LaserJet 700 M712 PCL 6
惠普,M712dn,后督中心,1910,10.2.26.53,HP LaserJet 700 M712 PCL 6
惠普,M712dn,会员与法律事务部,1812,10.2.18.24,HP LaserJet 700 M712 PCL 6
惠普,M712dn,会员与法律事务部,1812,10.3.80.1,HP LaserJet 700 M712 PCL 6
惠普,M226DW,纪检监察办公室,2013,10.3.110.24,HP LaserJet Pro MFP M225-M226 PCL 6
惠普,M452DW,纪检监察办公室,2013,10.2.25.25,HP Color LaserJet Pro M452 PCL 6
惠普,M712dn,技术部,2012,10.3.110.74,HP LaserJet 700 M712 PCL 6
惠普,M712dn,技术部,2012,10.2.25.70,HP LaserJet 700 M712 PCL 6
惠普,M712dn,交易规范部,1712,10.2.27.74,HP LaserJet 700 M712 PCL 6
惠普,M712dn,交易规范部,1713,10.2.27.186,HP LaserJet 700 M712 PCL 6
惠普,M712dn,交易规范部,1713,10.3.30.58,HP LaserJet 700 M712 PCL 6
惠普,E75245dn,培训认证部,1814,10.2.24.142,HP Color LaserJet E75245 PCL 6 (V3)
惠普,M712dn,培训认证部,1912,10.3.160.137,HP LaserJet 700 M712 PCL 6
惠普,M712dn,培训认证部,1814,10.3.50.3,HP LaserJet 700 M712 PCL 6
惠普,M750dn,培训认证部,1912,10.2.26.195,HP Color LaserJet M750 PCL 6
佳能,C5560,人力资源部,2113,10.2.25.111,Canon Generic Plus UFR II
惠普,M479fdw,人力资源部,2113,10.3.20.72,HP Color LaserJet Pro M478f-9f PCL-6 (V4)
惠普,M712dn,人力资源部,2113,10.2.21.36,HP LaserJet 700 M712 PCL 6
惠普,M750dn,人力资源部,2113,10.3.130.11,HP Color LaserJet M750 PCL 6
惠普,M329,审计部,2009,10.3.110.229,HP LaserJet Pro M329 PCL-6 (V4)
惠普,M712dn,审计部,2009,10.2.25.215,HP LaserJet 700 M712 PCL 6
惠普,M226dw,市场创新部,1712,10.3.40.221,HP LaserJet Pro MFP M225-M226 PCL 6
惠普,M403DW,市场创新部,1711,10.3.40.66,HP LaserJet Pro M402-M403 n-dne PCL 6
惠普,M454dw,市场创新部,1711,10.2.27.205,HP Color LaserJet Pro M453-4 PCL-6 (V4)
惠普,M712dn,市场创新部,1712,10.2.27.66,HP LaserJet 700 M712 PCL 6
惠普,M712dn,市场创新部,1711,10.2.17.66,HP LaserJet 700 M712 PCL 6
惠普,M712dn,市场创新部,1710,10.2.27.177,HP LaserJet 700 M712 PCL 6
惠普,M712dn,信息研究部,1914,10.3.160.19,HP LaserJet 700 M712 PCL 6
惠普,M712dn,信息研究部,1914,10.2.26.45,HP LaserJet 700 M712 PCL 6
佳能,C5560,行政事务部,2010,10.3.110.245,Canon Generic Plus UFR II
惠普,M712dn,行政事务部,2010,10.2.25.216,HP LaserJet 700 M712 PCL 6
惠普,M230fdw,注册办公室,1507,10.3.70.24,HP LaserJet MFP M227-M231 PCL-6 (V4)
惠普,M452DW,注册办公室,1511,10.3.70.213,HP Color LaserJet Pro M452 PCL 6
惠普,M712dn,注册办公室,1507,10.2.15.34,HP LaserJet 700 M712 PCL 6
惠普,M712dn,注册办公室,1511,10.2.15.189,HP LaserJet 700 M712 PCL 6
惠普,M712dn,注册办公室,1507,10.3.70.139,HP LaserJet 700 M712 PCL 6
惠普,M712dn,注册办公室,1508,10.2.15.214,HP LaserJet 700 M712 PCL 6
惠普,M712dn,注册办公室,1511,10.2.15.110,HP LaserJet 700 M712 PCL 6
惠普,M712dn,注册办公室,1508,10.3.70.47,HP LaserJet 700 M712 PCL 6
京瓷,P4135dn,注册办公室,1511,10.3.70.124,Kyocera ECOSYS P4135dn
惠普,M712dn,自律调查二部,1609,10.2.18.227,HP LaserJet 700 M712 PCL 6
惠普,M750dn,自律调查二部,1609,10.3.60.101,HP Color LaserJet M750 PCL 6
惠普,M1536dnf,自律调查一部,2112,10.2.11.87,HP LaserJet M1530 MFP Series PCL 6
惠普,M712dn,自律调查一部,2112,10.3.120.48,HP LaserJet 700 M712 PCL 6
惠普,M712dn,自律调查一部,2301,10.3.20.103,HP LaserJet 700 M712 PCL 6
惠普,M712dn,自律调查一部,2301,10.2.23.116,HP LaserJet 700 M712 PCL 6
联想,2510,综合部,1104,10.2.10.35,Lenovo Universal Printer 2
联想,2510,综合部,2110,10.3.20.125,Lenovo Universal Printer 2
佳能,C5560,综合部,2110,10.3.20.55,Canon Generic Plus UFR II
佳能,C5560,综合部,2202,10.3.10.21,Canon Generic Plus UFR II
惠普,M712dn,综合部,2110,10.2.11.16,HP LaserJet 700 M712 PCL 6
惠普,M712dn,综合平台建设工作组,1810,10.3.50.163,HP LaserJet 700 M712 PCL 6
惠普,M712dn,综合平台建设工作组,1809,10.3.50.132,HP LaserJet 700 M712 PCL 6
惠普,M712dn,综合平台建设工作组,1810,10.2.24.190,HP LaserJet 700 M712 PCL 6
惠普,M712dn,综合平台建设工作组,1809,10.2.24.162,HP LaserJet 700 M712 PCL 6
