品牌,型号,部门名称,办公室,ip地址
佳能,C5560,人力资源部,2113,10.2.25.111
佳能,C5560,行政事务部,2010,10.3.110.245
佳能,C5560,综合部,2110,10.3.20.55
佳能,C5560,综合部,1104,10.3.10.21
惠普,M712dn,财务管理部,2111,10.3.120.23
惠普,M712dn,财务管理部,2111,10.2.11.47
惠普,M712dn,国际部,2011,10.2.25.22
惠普,M712dn,国际部,2011,10.3.110.23
惠普,M401dn,后督中心,1912,10.3.180.151
惠普,M403DW,后督中心,1910,10.3.180.106
惠普,M712dn,后督中心,1912,10.2.19.72
惠普,M712dn,后督中心,1910,10.2.26.53
惠普,M712dn,会员与法律事务部,1812,10.2.18.24
惠普,M712dn,会员与法律事务部,1812,10.3.80.1
惠普,M226DW,纪检监察办公室,2013,10.3.110.24
惠普,M452DW,纪检监察办公室,2013,10.2.25.25
惠普,M712dn,技术部,2012,10.3.110.74
惠普,M712dn,技术部,2012,10.2.25.70
惠普,M712dn,交易规范部,1712,10.2.27.74
惠普,M712dn,交易规范部,1713,10.2.27.186
惠普,M712dn,交易规范部,1713,10.3.30.58
惠普,E75245dn,培训认证部,1814,10.2.24.142
惠普,M712dn,培训认证部,1912,10.3.160.137
惠普,M712dn,培训认证部,1814,10.3.50.3
惠普,M750dn,培训认证部,1912,10.2.26.195
惠普,M479fdw,人力资源部,2113,10.3.20.72
惠普,M712dn,人力资源部,2113,10.2.21.36
惠普,M750dn,人力资源部,2113,10.3.130.11
惠普,M712dn,审核评估服务部,1911,10.2.26.170
惠普,M712dn,审核评估服务部,1911,10.3.160.109
惠普,M329,审计部,2009,10.3.110.229
惠普,M712dn,审计部,2009,10.2.25.215
惠普,M226dw,市场创新部,1712,10.3.40.221
惠普,M403DW,市场创新部,1711,10.3.40.66
惠普,M454dw,市场创新部,1711,10.2.27.205
惠普,M712dn,市场创新部,1712,10.2.27.66
惠普,M712dn,市场创新部,1711,10.2.17.66
惠普,M712dn,市场创新部,1710,10.2.27.177
惠普,M712dn,信息研究部,1914,10.3.160.19
惠普,M712dn,信息研究部,1914,10.2.26.45
惠普,M712dn,行政事务部,2010,10.2.25.216
惠普,M454dw,行政事务部,2010,10.3.110.208
惠普,M230fdw,注册办公室,1507,10.3.70.24
惠普,M452DW,注册办公室,1511,10.3.70.213
惠普,M712dn,注册办公室,1507,10.2.15.34
惠普,M712dn,注册办公室,1511,10.2.15.189
惠普,M712dn,注册办公室,1507,10.3.70.139
惠普,M712dn,注册办公室,1508,10.2.15.214
惠普,M712dn,注册办公室,1511,10.2.15.110
惠普,M712dn,注册办公室,1508,10.3.70.47
惠普,M712dn,自律调查一部,2112,10.3.120.48
惠普,M712dn,自律调查一部,2301,10.3.20.103
惠普,M712dn,自律调查一部,2301,10.2.23.116
惠普,M1536dnf,自律调查一部,2112,10.2.11.87
惠普,M712dn,自律调查二部,1609,10.2.18.227
惠普,M750dn,自律调查二部,1609,10.3.60.101
惠普,M712dn,综合部,2110,10.2.11.16
惠普,M712dn,综合平台建设工作组,1810,10.3.50.163
惠普,M712dn,综合平台建设工作组,1809,10.3.50.132
惠普,M712dn,综合平台建设工作组,1810,10.2.24.190
惠普,M712dn,综合平台建设工作组,1809,10.2.24.162
京瓷,P4135dn,注册办公室,1511,10.3.70.124
联想,2510,综合部,1104,10.2.10.35
联想,2510,综合部,2110,10.3.20.125
